iter	Passed	Remaining
0	60	60525
1	61	30543
2	61	20425
3	61	15359
4	61	12322
5	62	10295
6	62	8848
7	62	7768
8	62	6927
9	63	6262
10	63	5706
11	63	5266
12	64	4873
13	64	4545
14	64	4255
15	65	4002
16	65	3786
17	65	3585
18	65	3404
19	66	3241
20	66	3094
21	66	2961
22	66	2840
23	67	2729
24	67	2629
25	67	2534
26	67	2447
27	68	2367
28	68	2291
29	68	2221
30	68	2155
31	69	2093
32	69	2036
33	69	1982
34	70	1930
35	70	1881
36	70	1834
37	70	1791
38	71	1749
39	71	1710
40	71	1673
41	71	1637
42	72	1603
43	72	1572
44	72	1541
45	72	1511
46	73	1482
47	73	1455
48	73	1429
49	73	1403
50	74	1380
51	74	1359
52	74	1336
53	75	1314
54	75	1294
55	75	1273
56	75	1254
57	76	1235
58	76	1217
59	76	1199
60	76	1182
61	77	1166
62	77	1150
63	77	1134
64	77	1119
65	78	1105
66	78	1093
67	78	1078
68	78	1065
69	79	1053
70	79	1042
71	79	1030
72	80	1018
73	80	1008
74	80	997
75	81	986
76	81	975
77	81	965
78	81	954
79	82	944
80	82	934
81	82	925
82	82	916
83	83	907
84	83	896
85	83	888
86	83	879
87	84	871
88	84	863
89	84	855
90	84	847
91	85	840
92	85	832
93	85	825
94	85	818
95	86	811
96	86	805
97	86	798
98	87	792
99	87	785
100	87	778
101	87	771
102	87	765
103	88	758
104	88	753
105	88	747
106	88	742
107	89	736
108	89	731
109	89	726
110	90	721
111	90	716
112	90	712
113	91	708
114	91	703
115	91	699
116	92	694
117	92	690
118	92	685
119	92	680
120	93	676
121	93	672
122	93	666
123	93	663
124	94	659
125	94	655
126	94	651
127	94	646
128	95	642
129	95	638
130	95	635
131	96	631
132	96	627
133	96	623
134	96	619
135	97	616
136	97	612
137	97	608
138	97	605
139	97	601
140	98	598
141	98	594
142	98	591
143	98	588
144	99	585
145	99	582
146	99	579
147	100	576
148	100	573
149	100	570
150	100	567
151	101	564
152	101	561
153	101	559
154	102	556
155	102	553
156	102	551
157	103	549
158	103	546
159	103	543
160	103	541
161	104	538
162	104	535
163	104	533
164	104	530
165	105	528
166	105	526
167	105	523
168	106	521
169	106	518
170	106	516
171	106	513
172	106	511
173	107	509
174	107	506
175	107	504
176	107	502
177	108	499
178	108	497
179	108	495
180	108	492
181	109	490
182	109	488
183	109	486
184	110	484
185	110	482
186	110	480
187	110	479
188	111	477
189	111	475
190	111	472
191	111	470
192	112	468
193	112	467
194	112	465
195	112	463
196	113	461
197	113	459
198	113	457
199	113	455
200	114	453
201	114	451
202	114	450
203	114	448
204	115	446
205	115	444
206	115	443
207	115	441
208	116	439
209	116	437
210	116	436
211	117	435
212	117	433
213	117	431
214	117	430
215	118	428
216	118	426
217	118	425
218	118	423
219	119	422
220	119	420
221	119	418
222	119	417
223	120	415
224	120	414
225	120	412
226	120	411
227	121	409
228	121	408
229	121	406
230	121	405
231	121	403
232	122	402
233	122	400
234	122	399
235	122	397
236	123	396
237	123	395
238	123	393
239	123	392
240	124	391
241	124	389
242	124	388
243	124	386
244	125	385
245	125	384
246	125	382
247	125	381
248	126	380
249	126	378
250	126	377
251	126	376
252	127	375
253	127	373
254	127	372
255	127	371
256	127	369
257	128	368
258	128	367
259	128	366
260	128	365
261	129	364
262	129	362
263	129	361
264	130	361
265	130	360
266	130	358
267	131	357
268	131	356
269	131	355
270	131	354
271	132	353
272	132	352
273	132	351
274	133	351
275	133	350
276	133	349
277	134	348
278	134	347
279	134	346
280	135	345
281	135	344
282	135	343
283	135	342
284	136	341
285	136	341
286	137	340
287	137	339
288	137	338
289	138	338
290	138	337
291	138	336
292	138	335
293	139	334
294	139	333
295	139	332
296	140	331
297	140	330
298	140	329
299	140	328
300	141	328
301	141	327
302	142	326
303	142	326
304	142	325
305	143	324
306	143	323
307	143	323
308	144	322
309	144	321
310	144	320
311	145	319
312	145	319
313	145	318
314	145	317
315	146	316
316	146	315
317	146	314
318	147	314
319	147	313
320	147	312
321	148	311
322	148	311
323	148	310
324	149	309
325	149	308
326	149	308
327	149	307
328	150	306
329	150	305
330	150	304
331	151	304
332	151	303
333	151	302
334	152	301
335	152	301
336	152	300
337	152	299
338	153	298
339	153	298
340	153	297
341	154	296
342	154	295
343	154	295
344	154	294
345	155	293
346	155	292
347	155	291
348	155	290
349	156	290
350	156	289
351	156	288
352	157	287
353	157	287
354	157	286
355	157	285
356	158	284
357	158	284
358	158	283
359	158	282
360	159	281
361	159	281
362	159	280
363	160	279
364	160	279
365	160	278
366	160	277
367	161	276
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	162	272
374	163	271
375	163	271
376	163	270
377	163	269
378	164	268
379	164	268
380	164	267
381	164	266
382	165	265
383	165	265
384	165	264
385	165	263
386	166	263
387	166	262
388	166	261
389	166	260
390	167	260
391	167	259
392	167	258
393	167	257
394	167	257
395	168	256
396	168	255
397	168	255
398	168	254
399	169	253
400	169	253
401	169	252
402	169	251
403	170	251
404	170	250
405	170	249
406	170	248
407	171	248
408	171	247
409	171	246
410	171	246
411	171	245
412	172	244
413	172	244
414	172	243
415	173	242
416	173	242
417	173	241
418	173	240
419	174	240
420	174	239
421	174	239
422	174	238
423	174	237
424	175	237
425	175	236
426	175	235
427	175	235
428	176	234
429	176	233
430	176	233
431	176	232
432	177	231
433	177	231
434	177	230
435	177	230
436	178	229
437	178	228
438	178	228
439	178	227
440	179	226
441	179	226
442	179	225
443	179	225
444	179	224
445	180	223
446	180	223
447	180	222
448	181	222
449	181	221
450	181	221
451	181	220
452	182	219
453	182	219
454	182	218
455	182	218
456	183	217
457	183	216
458	183	216
459	183	215
460	183	215
461	184	214
462	184	213
463	184	213
464	184	212
465	185	212
466	185	211
467	185	211
468	185	210
469	186	209
470	186	209
471	186	208
472	186	208
473	187	207
474	187	206
475	187	206
476	187	205
477	188	205
478	188	204
479	188	204
480	188	203
481	189	203
482	189	202
483	189	202
484	189	201
485	190	201
486	190	200
487	190	200
488	191	199
489	191	199
490	191	198
491	191	198
492	192	197
493	192	197
494	192	196
495	193	196
496	193	195
497	193	195
498	193	194
499	194	194
500	194	193
501	194	193
502	194	192
503	195	191
504	195	191
505	195	190
506	195	190
507	196	189
508	196	189
509	196	188
510	196	188
511	197	187
512	197	187
513	197	186
514	197	186
515	198	185
516	198	185
517	198	184
518	198	184
519	198	183
520	199	183
521	199	182
522	199	182
523	200	181
524	200	181
525	200	180
526	200	180
527	201	179
528	201	179
529	201	178
530	201	178
531	202	177
532	202	177
533	202	176
534	202	176
535	202	175
536	203	175
537	203	174
538	203	174
539	203	173
540	204	173
541	204	172
542	204	172
543	204	171
544	205	171
545	205	170
546	205	170
547	205	169
548	206	169
549	206	168
550	206	168
551	206	167
552	206	167
553	207	166
554	207	166
555	207	165
556	207	165
557	208	164
558	208	164
559	208	163
560	208	163
561	209	162
562	209	162
563	209	161
564	209	161
565	210	161
566	210	160
567	210	160
568	210	159
569	211	159
570	211	158
571	211	158
572	211	157
573	211	157
574	212	156
575	212	156
576	212	155
577	212	155
578	213	155
579	213	154
580	213	154
581	213	153
582	214	153
583	214	152
584	214	152
585	214	151
586	215	151
587	215	150
588	215	150
589	215	149
590	216	149
591	216	149
592	216	148
593	216	148
594	216	147
595	217	147
596	217	146
597	217	146
598	217	145
599	217	145
600	218	144
601	218	144
602	218	143
603	218	143
604	218	142
605	219	142
606	219	142
607	219	141
608	219	141
609	220	140
610	220	140
611	220	139
612	220	139
613	220	138
614	221	138
615	221	138
616	221	137
617	221	137
618	222	136
619	222	136
620	222	135
621	222	135
622	223	134
623	223	134
624	223	134
625	223	133
626	223	133
627	224	132
628	224	132
629	224	131
630	224	131
631	225	131
632	225	130
633	225	130
634	225	129
635	226	129
636	226	128
637	226	128
638	226	128
639	227	127
640	227	127
641	227	126
642	227	126
643	227	126
644	228	125
645	228	125
646	228	124
647	229	124
648	229	124
649	229	123
650	229	123
651	229	122
652	230	122
653	230	121
654	230	121
655	230	121
656	231	120
657	231	120
658	231	119
659	231	119
660	232	119
661	232	118
662	232	118
663	232	117
664	233	117
665	233	116
666	233	116
667	233	116
668	233	115
669	234	115
670	234	114
671	234	114
672	234	114
673	235	113
674	235	113
675	235	112
676	235	112
677	236	112
678	236	111
679	236	111
